date,open,close,high,low,volume
2020/1/1,7195.24,7200.85,7255,7175.15,16792.38817
2020/1/2,7200.77,6965.71,7212.5,6924.74,31951.48393
2020/1/3,6965.49,7344.96,7405,6871.04,68428.50045
2020/1/4,7345,7354.11,7404,7272.21,29987.97498
2020/1/5,7354.19,7358.75,7495,7318,38331.0856
2020/1/6,7357.64,7758,7795.34,7346.76,54635.69532
2020/1/7,7758.9,8145.28,8207.68,7723.71,91171.68466
2020/1/8,8145.92,8055.98,8455,7870,112622.6426
2020/1/9,8054.72,7817.76,8055.96,7750,64239.51983
2020/1/10,7817.74,8197.02,8199,7672,82406.77745
2020/1/11,8198.86,8020.01,8286.34,8003.16,54810.03267
2020/1/12,8020.01,8184.98,8197,7960,38131.49434
2020/1/13,8184.97,8110.34,8196,8055.89,31159.75568
2020/1/14,8110.34,8810.01,8880,8105.54,120399.1267
2020/1/15,8814.64,8821.41,8916.48,8564,84816.29761
2020/1/16,8820.01,8720.01,8859.81,8586,51991.07428
2020/1/17,8720.15,8913.28,9041.65,8672.44,70897.73738
2020/1/18,8913.27,8915.96,8988.88,8806.38,38294.74655
2020/1/19,8915.09,8701.7,9198.98,8466,70676.88926
2020/1/20,8701.72,8642.35,8746.99,8521.28,38896.63975
2020/1/21,8642.35,8736.03,8789,8488,36494.68766
2020/1/22,8736.04,8682.36,8818,8590,29080.55714
2020/1/23,8682.77,8404.52,8691.81,8306.39,48165.9446
2020/1/24,8404.52,8439,8528.02,8238,41687.52953
2020/1/25,8438.99,8340.58,8451.26,8254.9,25521.15793
2020/1/26,8340.01,8615,8618.13,8293.66,31130.48516
2020/1/27,8614.39,8907.57,9000,8535,53973.543
2020/1/28,8907.57,9374.21,9400,8862.4,74584.85377
2020/1/29,9375.34,9301.53,9449.24,9216,53864.06512
2020/1/30,9301.57,9513.21,9578,9204.44,60626.74426
2020/1/31,9511.52,9352.89,9530.22,9210.01,45552.02235
2020/2/1,9351.71,9384.61,9464.53,9281,28578.06735
2020/2/2,9384.41,9331.51,9477.03,9120,45690.91254
2020/2/3,9331.59,9292.24,9618.79,9234,50892.13345
2020/2/4,9291.35,9197.02,9350,9093.01,53308.17527
2020/2/5,9197.02,9612.04,9744.45,9177.22,64870.41562
2020/2/6,9612.03,9772,9862.57,9526.35,64949.70659
2020/2/7,9772,9813.73,9885,9730,43966.11463
2020/2/8,9813.87,9895.05,9940,9667.11,43600.84367
2020/2/9,9895.04,10151.75,10166,9880.75,43408.47562
2020/2/10,10151.72,9851.83,10188,9756,59573.08462
2020/2/11,9851.74,10223.08,10323.59,9700,62422.39522
2020/2/12,10223.08,10326.46,10450,10223.08,61008.06393
2020/2/13,10325.33,10229.63,10500,10080,79344.35876
2020/2/14,10227.78,10344.36,10381.56,10111.37,47038.48017
2020/2/15,10344.36,9904.72,10375,9801,57657.20295
2020/2/16,9904.46,9917.27,10050,9638.12,60023.99954
2020/2/17,9910.7,9706,9964.16,9452.67,70261.0119
2020/2/18,9706,10164.71,10250,9576.01,70604.12402
2020/2/19,10164.78,9593.79,10250,9350,55162.5869
2020/2/20,9594.65,9596.42,9699,9400,60152.34291
2020/2/21,9597.21,9677.05,9755.51,9550.21,42181.55452
2020/2/22,9677.05,9650.86,9709.17,9560.02,24636.75762
2020/2/23,9650.85,9936.4,9990,9645,37702.08984
